ID_LISTKU,ZDROJOVY_SOUBOR,TURNE,DATUM,INFO_TEXT,CONTRIBUTOR_TEXT,SOUBOR_SKEN,CENA,MENA,SEKTOR_RADA_SEDADLO,SUPPORTING_ACT,SETLIST,POCET_SKLADEB,SETLIST_URL,SOUBOR_SKEN_1,KATEGORIE
TICKET_0325,konzert-joe-jackson-1984.html,BODY AND SOUL Tour,7th May 1984,"7th May 1984 - Paris, France - Le Zenith","Björn Krüger, Germany",kk-joe-jackson-1984-05-07.jpg,není k dispozici,není k dispozici,není k dispozici,není k dispozici,"Be My Number Two, Breaking Us in Two, Real Men",3,https://www.setlist.fm/setlist/joe-jackson/1984/le-zenith-paris-france-7bfea2e0.html,kk-joe-jackson-1984-05-07.jpg,tickets
TICKET_0326,konzert-joe-jackson-1984.html,BODY AND SOUL Tour,14th May 1984,"14th May 1984 - Vancouver, Canada - Queen Elisabeth Theatre","Gert Schaumlöffel, Germany",kk-joe-jackson-1984-05-14.jpg,není k dispozici,není k dispozici,"sec: CTBrsCOMPA, seat: C26apr",není k dispozici,není k dispozici,0,https://www.setlist.fm/setlist/joe-jackson/1984/queen-elizabeth-theatre-vancouver-bc-canada-5bfc7f60.html,kk-joe-jackson-1984-05-14.jpg,tickets
TICKET_0327,konzert-joe-jackson-1984.html,BODY AND SOUL Tour,15th May 1984,"15th May 1984 - Seattle, WA, U.S.A. - Paramount Theatre","Gert Schaumlöffel, Germany",kk-joe-jackson-1984-05-15.jpg,13.00,není k dispozici,"SEC: 2, SEC: 2, SEc: 2ox",není k dispozici,není k dispozici,0,https://www.setlist.fm/setlist/joe-jackson/1984/paramount-theatre-seattle-wa-638e9247.html,kk-joe-jackson-1984-05-15.jpg,tickets
TICKET_0328,konzert-joe-jackson-1984.html,BODY AND SOUL Tour,25th May 1984,"25th May 1984 - Santa Barbara, CA, U.S.A. - Santa Barbara County Bowl","Gert Schaumlöffel, Germany",kk-joe-jackson-1984-05-25.jpg,není k dispozici,není k dispozici,není k dispozici,HOWARD JONES,není k dispozici,0,https://www.setlist.fm/setlist/joe-jackson/1984/santa-barbara-bowl-santa-barbara-ca-738e9239.html,kk-joe-jackson-1984-05-25.jpg,tickets
TICKET_0329,konzert-joe-jackson-1984.html,BODY AND SOUL Tour,2nd June 1984,"2nd June 1984 - Dallas, TX, U.S.A. - State Fair Band Shell","Gert Schaumlöffel, Germany",kk-joe-jackson-1984-06-02.jpg,1.00,není k dispozici,"Row: SEAT, SEC: TION",není k dispozici,není k dispozici,0,https://www.setlist.fm/setlist/joe-jackson/1984/fair-park-band-shell-dallas-tx-43ff533f.html,kk-joe-jackson-1984-06-02.jpg,tickets
TICKET_0330,konzert-joe-jackson-1984.html,BODY AND SOUL Tour,10th June 1984,"10th June 1984 - Poplar Creek, IL, U.S.A. - Poplar Creek Music Theater (open air)","Gert Schaumlöffel, Germany",kk-joe-jackson-1984-06-10.jpg,10.00,není k dispozici,"SeC: IION, Sec: hion",není k dispozici,"Loisaida, Body and Soul, Heart of Ice, Another World, Sunday Papers, The Verdict, Cha Cha Loco, Breaking Us in Two, Is She Really Going Out With Him?, Memphis, Soul Makossa / T.V. Age, Steppin' Out, You Can't Get What You Want (Till You Know What You Want), Jumpin' Jive, Go for It, A Slow Song",16,https://www.setlist.fm/setlist/joe-jackson/1984/poplar-creek-music-theater-hoffman-estates-il-2bd984c2.html,kk-joe-jackson-1984-06-10.jpg,tickets
TICKET_0331,konzert-joe-jackson-1984.html,BODY AND SOUL Tour,18th June 1984,"18th June 1984 - Toronto, Canada - CNE Bandshell","Gert Schaumlöffel, Germany",kk-joe-jackson-1984-06-18.jpg,14.55,není k dispozici,"sec: admission, sec: lbox",není k dispozici,není k dispozici,0,https://www.setlist.fm/setlist/joe-jackson/1984/cne-bandshell-toronto-on-canada-63f0c6df.html,kk-joe-jackson-1984-06-18.jpg,tickets
TICKET_0332,konzert-joe-jackson-1984.html,BODY AND SOUL Tour,21st June 1984,"21st June 1984 - New York, NY, U.S.A. - Madison Square Garden - Gert Schaumlöffel, Germany","Gregory D'Anna, U.S.A.","kk-joe-jackson-1984-06-21.jpg, kk-joe-jackson-1984-06-21-II.jpg",15.00,$,není k dispozici,není k dispozici,"Body and Soul, Heart of Ice, Another World, Sunday Papers, The Verdict, It's Different for Girls, Cha Cha Loco, Breaking Us in Two, Be My Number Two, Is She Really Going Out With Him?, Memphis, Soul Makossa, T.V. Age, Steppin' Out, You Can't Get What You Want (Till You Know What You Want), Happy Ending, Jumpin' Jive, Go for It, A Slow Song",19,https://www.setlist.fm/setlist/joe-jackson/1984/madison-square-garden-new-york-ny-43d20b97.html,"kk-joe-jackson-1984-06-21.jpg, kk-joe-jackson-1984-06-21-II.jpg",tickets
TICKET_0333,konzert-joe-jackson-1984.html,BODY AND SOUL Tour,23rd June 1984,"23rd June 1984 - Columbia, MD, U.S.A. - Merriweather Post Pavilion","Gert Schaumlöffel, Germany",kk-joe-jackson-1984-06-23.jpg,není k dispozici,není k dispozici,není k dispozici,není k dispozici,není k dispozici,0,https://www.setlist.fm/setlist/joe-jackson/1984/merriweather-post-pavilion-columbia-md-3bdc1c68.html,kk-joe-jackson-1984-06-23.jpg,tickets
TICKET_0334,konzert-joe-jackson-1984.html,BODY AND SOUL Tour,26th June 1984,"Gert Schaumlöffel, Germany - Rain Date: 26th June 1984 - Boston, MA, U.S.A. - Boston Common","Gil Bliss, USA","kk-gs-joe-jackson-1984-06-26.jpg, kk-joe-jackson-1984-06-26-backstage.jpg, kk-joe-jackson-1984-06-26-right-side.jpg",není k dispozici,není k dispozici,není k dispozici,není k dispozici,"Body and Soul, Heart of Ice, Another World, Sunday Papers, The Verdict, It's Different for Girls, Cha Cha Loco, Breaking Us in Two, Be My Number Two, Is She Really Going Out With Him?, Memphis, Soul Makossa, T.V. Age, Steppin' Out, You Can't Get What You Want (Till You Know What You Want), Happy Ending, Jumpin' Jive, Go for It, A Slow Song",19,https://www.setlist.fm/setlist/joe-jackson/1984/boston-common-boston-ma-13df4151.html,"kk-gs-joe-jackson-1984-06-26.jpg, kk-joe-jackson-1984-06-26-backstage.jpg, kk-joe-jackson-1984-06-26-right-side.jpg",tickets
TICKET_0335,konzert-joe-jackson-1984.html,BODY AND SOUL Tour,7th July 1984,"7th July 1984 - Torhout, Belgium - Humo Festival - Hervé Lenoach, France","Gert Schaumlöffel, Germany","kk-joe-jackson-1984-07-07.jpg, kk-joe-jackson-1984-07-07-2.jpg",není k dispozici,není k dispozici,není k dispozici,není k dispozici,není k dispozici,0,https://www.setlist.fm/setlist/joe-jackson/1984/achiel-eeckloo-rockweide-torhout-belgium-43c287cb.html,"kk-joe-jackson-1984-07-07.jpg, kk-joe-jackson-1984-07-07-2.jpg",tickets
TICKET_0336,konzert-joe-jackson-1984.html,BODY AND SOUL Tour,8th July 1984,"8th July 1984 - Werchter, Belgium - Humo Festival - Barnie Rupprecht, Germany","Gert Schaumlöffel, Germany","kk-joe-jackson-1984-07-08.jpg, kk-joe-jackson-1984-07-08-2.jpg",není k dispozici,není k dispozici,není k dispozici,není k dispozici,"Another World, Cha Cha Loco, Be My Number Two, Is She Really Going Out With Him?, Steppin' Out, A Slow Song",6,https://www.setlist.fm/setlist/joe-jackson/1984/festivalpark-werchter-belgium-1bc43d04.html,"kk-joe-jackson-1984-07-08.jpg, kk-joe-jackson-1984-07-08-2.jpg",tickets
TICKET_0337,konzert-joe-jackson-1984.html,BODY AND SOUL Tour,10th July 1984,"10th July 1984 - Milan, Italy - Palazzo Dello Sport - 12th July 1984 - Rome, Italy - Ex Mattatoio","Gert Schaumlöffel, Germany","kk-joe-jackson-1984-07-10.jpg, kk-joe-jackson-1984-07-12.jpg",není k dispozici,není k dispozici,není k dispozici,není k dispozici,"Body and Soul, Heart of Ice, Another World, Sunday Papers, It's Different for Girls, The Verdict, Cha Cha Loco, Breaking Us in Two, Be My Number Two, Is She Really Going Out With Him?, Soul Makossa, Beat Crazy, Steppin' Out, You Can't Get What You Want (Till You Know What You Want), Jumpin' Jive, Go for It, A Slow Song",17,https://www.setlist.fm/setlist/joe-jackson/1984/palasport-di-san-siro-milan-italy-38759eb.html,"kk-joe-jackson-1984-07-10.jpg, kk-joe-jackson-1984-07-12.jpg",tickets
TICKET_0338,konzert-joe-jackson-1984.html,BODY AND SOUL Tour,6th August 1984,"6th August 1984 - Osaka, Japan","Shiro Miyata , Japan",kk-joe-jackson-1984-08-06.jpg,710.27,není k dispozici,není k dispozici,není k dispozici,není k dispozici,0,https://www.setlist.fm/setlist/joe-jackson/1984/mainichi-hall-osaka-japan-73bc0e89.html,kk-joe-jackson-1984-08-06.jpg,tickets
TICKET_0339_a,konzert-joe-jackson-1984.html,BODY AND SOUL Tour,1984,1984 - Tourpass,"Gert Schaumlöffel, Germany",kk-joe-jackson-pass-1984-hamburg.jpg,není k dispozici,není k dispozici,není k dispozici,není k dispozici,není k dispozici,0,není k dispozici,kk-joe-jackson-pass-1984-hamburg.jpg,passes
TICKET_0339_b,konzert-joe-jackson-1984.html,BODY AND SOUL Tour,26th May 1984,1984 - Tourpass,"Gert Schaumlöffel, Germany",kk-joe-jackson-1984-05-26-pass.jpg,není k dispozici,není k dispozici,není k dispozici,není k dispozici,není k dispozici,0,není k dispozici,kk-joe-jackson-1984-05-26-pass.jpg,passes
TICKET_0339_c,konzert-joe-jackson-1984.html,BODY AND SOUL Tour,29th May 1984,1984 - Tourpass,"Gert Schaumlöffel, Germany",kk-joe-jackson-1984-05-29-pass.jpg,není k dispozici,není k dispozici,není k dispozici,není k dispozici,není k dispozici,0,není k dispozici,kk-joe-jackson-1984-05-29-pass.jpg,passes
TICKET_0340,konzert-joe-jackson-2003.html,Tour 2003,21st March 2003,"21st March 2003 - Los Angeles, CA, U.S.A. - El Rey Theatre - 22nd March 2003 - Los Angeles, CA, U.S.A. - El Rey Theatre - YAHOO Group - Joe Jackson","Craig Codding, U.S.A.","kk-sm-5.jpg, kk-joe-jackson-2003-03-22.jpg",32.50,není k dispozici,není k dispozici,není k dispozici,"One More Time, Take It Like a Man, Awkward Age, Look Sharp!, Stranger Than You, Still Alive, Fools in Love / For Your Love, On Your Radio, Love at First Light, Home Town, Girl, Real Men, Dirty Martini, Beat Crazy, Little Bit Stupid, Sunday Papers, Got the Time, It's Different for Girls, I'm the Man",19,https://www.setlist.fm/setlist/joe-jackson/2003/el-rey-theatre-los-angeles-ca-6b969a76.html,"kk-sm-5.jpg, kk-joe-jackson-2003-03-22.jpg",tickets
